product_category_name,volume_vendas,faturamento_total,nota_media,ticket_medio,perc_faturamento,perc_acumulado,classificacao_abc
construcao_ferramentas_iluminacao,293,39355.23,4.085324232081911,134.31819112627988,0.0030502123290345254,0.9700768936091879,C (Cauda Longa)
construcao_ferramentas_seguranca,181,35644.32,3.9613259668508287,196.9299447513812,0.0027625996423868418,0.9728394932515747,C (Cauda Longa)
industria_comercio_e_negocios,261,34970.81,4.1226053639846745,133.98777777777778,0.002710399502641043,0.9755498927542158,C (Cauda Longa)
alimentos,487,28332.01,4.262833675564682,58.17661190965092,0.002195861800536535,0.9777457545547523,C (Cauda Longa)
market_place,303,27730.48,4.072607260726072,91.51973597359736,0.0021492404436728057,0.9798949949984251,C (Cauda Longa)
construcao_ferramentas_jardim,234,25150.13,4.1239316239316235,107.47918803418804,0.001949251385465695,0.9818442463838908,C (Cauda Longa)
fashion_calcados,256,22806.76,4.28515625,89.08890625,0.0017676293732073588,0.9836118757570982,C (Cauda Longa)
bebidas,365,21607.04,4.1287671232876715,59.1973698630137,0.0016746455249262208,0.9852865212820244,C (Cauda Longa)
sinalizacao_e_seguranca,196,21199.05,4.091836734693878,108.15841836734694,0.0016430244131166137,0.986929545695141,C (Cauda Longa)
moveis_quarto,103,19051.8,4.252427184466019,184.96893203883494,0.0014766026078439883,0.988406148302985,C (Cauda Longa)
livros_tecnicos,264,18715.2,4.393939393939394,70.89090909090909,0.0014505145511879093,0.989856662854173,C (Cauda Longa)
artes,194,16993.4,4.077319587628866,87.59484536082475,0.0013170670884712224,0.9911737299426442,C (Cauda Longa)
construcao_ferramentas_ferramentas,99,15774.25,4.444444444444445,159.33585858585857,0.0012225773253331986,0.9923963072679773,C (Cauda Longa)
alimentos_bebidas,271,15033.87,4.369003690036901,55.475535055350555,0.0011651944513372753,0.9935615017193146,C (Cauda Longa)
fashion_roupa_masculina,124,10257.33,3.7580645161290325,82.72040322580645,0.0007949905115273296,0.9943564922308419,C (Cauda Longa)
fashion_underwear_e_moda_praia,126,9256.05,4.0476190476190474,73.46071428571427,0.0007173866809610823,0.995073878911803,C (Cauda Longa)
artigos_de_natal,143,8027.12,4.06993006993007,56.13370629370629,0.0006221389225940139,0.995696017834397,C (Cauda Longa)
cine_foto,71,6690.37,4.295774647887324,94.2305633802817,0.0005185346155975385,0.9962145524499946,C (Cauda Longa)
tablets_impressao_imagem,81,6508.43,4.1234567901234565,80.35098765432099,0.000504433424189318,0.9967189858741838,C (Cauda Longa)
musica,38,6034.35,4.2105263157894735,158.79868421052632,0.00046769003173681076,0.9971866759059207,C (Cauda Longa)
dvds_blu_ray,61,4542.59,4.180327868852459,74.46868852459016,0.0003520717328738504,0.9975387476387946,C (Cauda Longa)
artigos_de_festas,42,4465.1900000000005,3.8333333333333335,106.31404761904763,0.0003460728749261959,0.9978848205137207,C (Cauda Longa)
livros_importados,57,4418.86,4.508771929824562,77.5238596491228,0.00034248208566631423,0.9982273025993871,C (Cauda Longa)
moveis_colchao_e_estofado,37,4323.38,3.891891891891892,116.84810810810811,0.00033508194410504744,0.9985623845434921,C (Cauda Longa)
portateis_cozinha_e_preparadores_de_alimentos,14,3933.63,3.4285714285714284,280.97357142857146,0.0003048745166489963,0.9988672590601411,C (Cauda Longa)
fashion_roupa_feminina,46,2700.84,3.9565217391304346,58.713913043478264,0.00020932759043079173,0.9990765866505719,C (Cauda Longa)
fashion_esporte,30,2119.51,4.366666666666666,70.65033333333334,0.00016427182698492595,0.9992408584775568,C (Cauda Longa)
la_cuisine,13,1917.99,4.0,147.5376923076923,0.00014865309502612307,0.9993895115725829,C (Cauda Longa)
artes_e_artesanato,24,1814.01,4.125,75.58375,0.00014059416415535924,0.9995301057367383,C (Cauda Longa)
fraldas_higiene,37,1500.79,3.3783783783783785,40.56189189189189,0.00011631816562352005,0.9996464239023618,C (Cauda Longa)
pc_gamer,8,1306.95,3.625,163.36875,0.00010129466918200383,0.9997477185715438,C (Cauda Longa)
flores,31,1000.24,4.419354838709677,32.2658064516129,7.752322575661465e-05,0.9998252417973004,C (Cauda Longa)
cds_dvds_musicais,14,730.0,4.642857142857143,52.142857142857146,5.657837599209059e-05,0.9998818201732924,C (Cauda Longa)
casa_conforto_2,27,721.57,3.6296296296296298,26.724814814814817,5.592501200631892e-05,0.9999377451852988,C (Cauda Longa)
fashion_roupa_infanto_juvenil,7,519.95,5.0,74.27857142857144,4.0298529585051376e-05,0.9999780437148839,C (Cauda Longa)
seguros_e_servicos,2,283.28999999999996,2.5,141.64499999999998,2.195628511616348e-05,1.0,C (Cauda Longa)
